model,coverage,accuracy,risk
latent_only,0.09935897435897435,0.9354838709677419,0.06451612903225812
latent_only,0.14743589743589744,0.9130434782608695,0.08695652173913049
latent_only,0.1955128205128205,0.9262295081967213,0.07377049180327866
latent_only,0.2419871794871795,0.9403973509933775,0.05960264900662249
latent_only,0.2900641025641026,0.9502762430939227,0.04972375690607733
latent_only,0.33653846153846156,0.9476190476190476,0.05238095238095242
latent_only,0.38461538461538464,0.9416666666666667,0.05833333333333335
latent_only,0.4310897435897436,0.9479553903345725,0.052044609665427455
latent_only,0.4791666666666667,0.9464882943143813,0.05351170568561869
latent_only,0.5256410256410257,0.9329268292682927,0.06707317073170727
latent_only,0.5737179487179487,0.9050279329608939,0.0949720670391061
latent_only,0.6217948717948718,0.8969072164948454,0.1030927835051546
latent_only,0.6682692307692307,0.8872901678657075,0.11270983213429253
latent_only,0.7163461538461539,0.8747203579418344,0.12527964205816555
latent_only,0.7628205128205128,0.8718487394957983,0.12815126050420167
latent_only,0.8108974358974359,0.8517786561264822,0.14822134387351782
latent_only,0.8573717948717948,0.8542056074766355,0.14579439252336446
latent_only,0.905448717948718,0.8513274336283185,0.14867256637168147
latent_only,0.9519230769230769,0.8383838383838383,0.16161616161616166
latent_only,1.0,0.8317307692307693,0.16826923076923073
latent_quantum_hybrid,0.09935897435897435,0.9516129032258065,0.048387096774193505
latent_quantum_hybrid,0.14743589743589744,0.9347826086956522,0.06521739130434778
latent_quantum_hybrid,0.1955128205128205,0.9508196721311475,0.049180327868852514
latent_quantum_hybrid,0.2419871794871795,0.9536423841059603,0.04635761589403975
latent_quantum_hybrid,0.2900641025641026,0.9502762430939227,0.04972375690607733
latent_quantum_hybrid,0.33653846153846156,0.9428571428571428,0.05714285714285716
latent_quantum_hybrid,0.38461538461538464,0.9458333333333333,0.054166666666666696
latent_quantum_hybrid,0.4310897435897436,0.9516728624535316,0.048327137546468446
latent_quantum_hybrid,0.4791666666666667,0.939799331103679,0.06020066889632103
latent_quantum_hybrid,0.5256410256410257,0.9237804878048781,0.07621951219512191
latent_quantum_hybrid,0.5737179487179487,0.9134078212290503,0.08659217877094971
latent_quantum_hybrid,0.6217948717948718,0.9072164948453608,0.09278350515463918
latent_quantum_hybrid,0.6682692307692307,0.9040767386091128,0.09592326139088725
latent_quantum_hybrid,0.7163461538461539,0.901565995525727,0.09843400447427297
latent_quantum_hybrid,0.7628205128205128,0.8991596638655462,0.10084033613445376
latent_quantum_hybrid,0.8108974358974359,0.8972332015810277,0.1027667984189723
latent_quantum_hybrid,0.8573717948717948,0.8859813084112149,0.11401869158878508
latent_quantum_hybrid,0.905448717948718,0.8814159292035398,0.11858407079646016
latent_quantum_hybrid,0.9519230769230769,0.8636363636363636,0.13636363636363635
latent_quantum_hybrid,1.0,0.8541666666666666,0.14583333333333337
latent_quantum_hybrid_mc_dropout,0.09935897435897435,0.9838709677419355,0.016129032258064502
latent_quantum_hybrid_mc_dropout,0.14743589743589744,0.967391304347826,0.03260869565217395
latent_quantum_hybrid_mc_dropout,0.1955128205128205,0.9426229508196722,0.05737704918032782
latent_quantum_hybrid_mc_dropout,0.2419871794871795,0.9536423841059603,0.04635761589403975
latent_quantum_hybrid_mc_dropout,0.2900641025641026,0.9558011049723757,0.04419889502762431
latent_quantum_hybrid_mc_dropout,0.33653846153846156,0.9571428571428572,0.042857142857142816
latent_quantum_hybrid_mc_dropout,0.38461538461538464,0.9416666666666667,0.05833333333333335
latent_quantum_hybrid_mc_dropout,0.4310897435897436,0.9330855018587361,0.06691449814126393
latent_quantum_hybrid_mc_dropout,0.4791666666666667,0.9297658862876255,0.07023411371237454
latent_quantum_hybrid_mc_dropout,0.5256410256410257,0.9237804878048781,0.07621951219512191
latent_quantum_hybrid_mc_dropout,0.5737179487179487,0.9106145251396648,0.08938547486033521
latent_quantum_hybrid_mc_dropout,0.6217948717948718,0.8994845360824743,0.10051546391752575
latent_quantum_hybrid_mc_dropout,0.6682692307692307,0.9016786570743405,0.09832134292565953
latent_quantum_hybrid_mc_dropout,0.7163461538461539,0.8970917225950783,0.1029082774049217
latent_quantum_hybrid_mc_dropout,0.7628205128205128,0.8949579831932774,0.10504201680672265
latent_quantum_hybrid_mc_dropout,0.8108974358974359,0.8932806324110671,0.10671936758893286
latent_quantum_hybrid_mc_dropout,0.8573717948717948,0.8897196261682243,0.11028037383177569
latent_quantum_hybrid_mc_dropout,0.905448717948718,0.8814159292035398,0.11858407079646016
latent_quantum_hybrid_mc_dropout,0.9519230769230769,0.8636363636363636,0.13636363636363635
latent_quantum_hybrid_mc_dropout,1.0,0.8493589743589743,0.15064102564102566
baseline_cnn_temp_scaled,0.09935897435897435,0.8870967741935484,0.11290322580645162
baseline_cnn_temp_scaled,0.14743589743589744,0.9130434782608695,0.08695652173913049
baseline_cnn_temp_scaled,0.1955128205128205,0.9180327868852459,0.08196721311475408
baseline_cnn_temp_scaled,0.2419871794871795,0.9337748344370861,0.06622516556291391
baseline_cnn_temp_scaled,0.2900641025641026,0.9447513812154696,0.05524861878453036
baseline_cnn_temp_scaled,0.33653846153846156,0.9476190476190476,0.05238095238095242
baseline_cnn_temp_scaled,0.38461538461538464,0.9416666666666667,0.05833333333333335
baseline_cnn_temp_scaled,0.4310897435897436,0.9479553903345725,0.052044609665427455
baseline_cnn_temp_scaled,0.4791666666666667,0.9431438127090301,0.05685618729096986
baseline_cnn_temp_scaled,0.5256410256410257,0.9420731707317073,0.057926829268292734
baseline_cnn_temp_scaled,0.5737179487179487,0.9301675977653632,0.06983240223463683
baseline_cnn_temp_scaled,0.6217948717948718,0.904639175257732,0.09536082474226804
baseline_cnn_temp_scaled,0.6682692307692307,0.8920863309352518,0.1079136690647482
baseline_cnn_temp_scaled,0.7163461538461539,0.8859060402684564,0.11409395973154357
baseline_cnn_temp_scaled,0.7628205128205128,0.8739495798319328,0.12605042016806722
baseline_cnn_temp_scaled,0.8108974358974359,0.857707509881423,0.14229249011857703
baseline_cnn_temp_scaled,0.8573717948717948,0.8429906542056075,0.15700934579439252
baseline_cnn_temp_scaled,0.905448717948718,0.8300884955752212,0.16991150442477876
baseline_cnn_temp_scaled,0.9519230769230769,0.8181818181818182,0.18181818181818177
baseline_cnn_temp_scaled,1.0,0.8076923076923077,0.1923076923076923
latent_only_temp_scaled,0.09935897435897435,0.9354838709677419,0.06451612903225812
latent_only_temp_scaled,0.14743589743589744,0.9130434782608695,0.08695652173913049
latent_only_temp_scaled,0.1955128205128205,0.9262295081967213,0.07377049180327866
latent_only_temp_scaled,0.2419871794871795,0.9403973509933775,0.05960264900662249
latent_only_temp_scaled,0.2900641025641026,0.9502762430939227,0.04972375690607733
latent_only_temp_scaled,0.33653846153846156,0.9476190476190476,0.05238095238095242
latent_only_temp_scaled,0.38461538461538464,0.9416666666666667,0.05833333333333335
latent_only_temp_scaled,0.4310897435897436,0.9479553903345725,0.052044609665427455
latent_only_temp_scaled,0.4791666666666667,0.9464882943143813,0.05351170568561869
latent_only_temp_scaled,0.5256410256410257,0.9329268292682927,0.06707317073170727
latent_only_temp_scaled,0.5737179487179487,0.9050279329608939,0.0949720670391061
latent_only_temp_scaled,0.6217948717948718,0.8969072164948454,0.1030927835051546
latent_only_temp_scaled,0.6682692307692307,0.8872901678657075,0.11270983213429253
latent_only_temp_scaled,0.7163461538461539,0.8747203579418344,0.12527964205816555
latent_only_temp_scaled,0.7628205128205128,0.8718487394957983,0.12815126050420167
latent_only_temp_scaled,0.8108974358974359,0.8517786561264822,0.14822134387351782
latent_only_temp_scaled,0.8573717948717948,0.8542056074766355,0.14579439252336446
latent_only_temp_scaled,0.905448717948718,0.8513274336283185,0.14867256637168147
latent_only_temp_scaled,0.9519230769230769,0.8383838383838383,0.16161616161616166
latent_only_temp_scaled,1.0,0.8317307692307693,0.16826923076923073
latent_quantum_hybrid_temp_scaled,0.09935897435897435,0.9516129032258065,0.048387096774193505
latent_quantum_hybrid_temp_scaled,0.14743589743589744,0.9347826086956522,0.06521739130434778
latent_quantum_hybrid_temp_scaled,0.1955128205128205,0.9508196721311475,0.049180327868852514
latent_quantum_hybrid_temp_scaled,0.2419871794871795,0.9536423841059603,0.04635761589403975
latent_quantum_hybrid_temp_scaled,0.2900641025641026,0.9502762430939227,0.04972375690607733
latent_quantum_hybrid_temp_scaled,0.33653846153846156,0.9428571428571428,0.05714285714285716
latent_quantum_hybrid_temp_scaled,0.38461538461538464,0.9458333333333333,0.054166666666666696
latent_quantum_hybrid_temp_scaled,0.4310897435897436,0.9516728624535316,0.048327137546468446
latent_quantum_hybrid_temp_scaled,0.4791666666666667,0.939799331103679,0.06020066889632103
latent_quantum_hybrid_temp_scaled,0.5256410256410257,0.9237804878048781,0.07621951219512191
latent_quantum_hybrid_temp_scaled,0.5737179487179487,0.9134078212290503,0.08659217877094971
latent_quantum_hybrid_temp_scaled,0.6217948717948718,0.9072164948453608,0.09278350515463918
latent_quantum_hybrid_temp_scaled,0.6682692307692307,0.9040767386091128,0.09592326139088725
latent_quantum_hybrid_temp_scaled,0.7163461538461539,0.901565995525727,0.09843400447427297
latent_quantum_hybrid_temp_scaled,0.7628205128205128,0.8991596638655462,0.10084033613445376
latent_quantum_hybrid_temp_scaled,0.8108974358974359,0.8972332015810277,0.1027667984189723
latent_quantum_hybrid_temp_scaled,0.8573717948717948,0.8859813084112149,0.11401869158878508
latent_quantum_hybrid_temp_scaled,0.905448717948718,0.8814159292035398,0.11858407079646016
latent_quantum_hybrid_temp_scaled,0.9519230769230769,0.8636363636363636,0.13636363636363635
latent_quantum_hybrid_temp_scaled,1.0,0.8541666666666666,0.14583333333333337
